id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
37770287,Ancestral - Centre-ville - Balcon -Parking gratuit,193766296,Simon,,Saint-Roch,46.81658,-71.22104,Entire home/apt,138,1,91,2020-09-26,4.11,9,47
37775697,Superbe entièrement rénové 5 minutes vieux Québec,285716624,Eric,,Saint-Sauveur,46.81252,-71.23626,Entire home/apt,195,3,3,2019-10-10,0.14,1,0
37812221,L’éco-logis,278009176,Sylvain,,Lairet,46.83813,-71.23947,Entire home/apt,42,32,9,2020-02-18,0.41,2,107
37830452,Private house in downtown quebec city (PARKING) #6,128675645,Coralie Et Mélina,,Saint-Roch,46.81343,-71.22845,Entire home/apt,175,1,65,2020-02-16,2.83,8,180
37856946,Suite privée dans maison,135924272,Joëlle,,Val-Bélair,46.83673,-71.40072,Private room,60,7,16,2019-09-30,0.70,1,20
37857515,"Grand 3,5 près de tous les services, bus parking",28754730,Julie,,Loretteville,46.8498,-71.36312,Entire home/apt,59,31,3,2019-12-31,0.16,4,350
37913084,Vieux-Québec vue2 balcons meublé À/Z1025$ parmois,83151318,Francine,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81519,-71.20786,Entire home/apt,33,30,3,2021-04-05,0.69,2,60
37943045,Maison de ville parfaite pour famille,28425270,Juliane,,Neufchâtel-Est/Lebourgneuf,46.847,-71.30555,Entire home/apt,150,2,0,,,1,0
37947238,Appartement à louer pour 3 mois,211869209,Marie-Julie,,Lac-Saint-Charles,46.88463,-71.3789,Entire home/apt,1500,30,0,,,1,0
37964681,Modern Meets Rustic- 2 Bedroom in Old Quebec,44020326,Sandy,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81543,-71.20433,Entire home/apt,368,1,72,2020-06-16,3.25,1,332
37991504,Superbe condo pour 6 personnes avec stationnement,28249488,Hôtel À La Maison,,Duberger-Les Saules,46.8065,-71.31846,Entire home/apt,79,31,18,2020-04-12,0.82,4,278
38000383,Au cœur du faubourg,28750258,Amélie,,Saint-Jean-Baptiste,46.81121,-71.22246,Private room,85,1,3,2019-09-01,0.13,1,0
